1.315673,1.287257,1.360462,1.525871,1.430392,1.435419,1.414362,1.386153,1.540067,1.526831,1.325614,1.225815,1.652966,1.343846,1.806038,1.297823,1.706185,1.350851,1.309745,1.708170,1.423673,1.517120,1.386513,1.391967,1.370891,1.661381,1.493963,1.280800,1.513956,1.209516,1.388677,1.598115
1.349115,1.379165,1.267670,1.467297,1.365451,1.322426,1.356051,1.282976,1.609856,1.592500,1.249722,1.330840,1.484598,1.385628,1.627583,1.313345,1.739009,1.343010,1.379691,1.753192,1.447258,1.459294,1.486633,1.321661,1.377413,1.545803,1.517577,1.277642,1.427041,1.254746,1.375856,1.490463
1.358198,1.411666,1.235790,1.398587,1.458818,1.373718,1.468598,1.272285,1.633324,1.654513,1.189042,1.374543,1.516035,1.423370,1.745346,1.329795,1.684995,1.516653,1.333300,1.758864,1.494508,1.460578,1.451141,1.361377,1.314047,1.648745,1.516155,1.311347,1.526757,1.330766,1.341474,1.577027
1.359650,1.266339,1.325736,1.453230,1.356439,1.333096,1.501933,1.289295,1.512715,1.550747,1.166679,1.346772,1.530087,1.354084,1.602156,1.303036,1.780814,1.450146,1.293569,1.551129,1.413129,1.427536,1.446361,1.377476,1.376284,1.613314,1.553646,1.294690,1.533715,1.233151,1.363699,1.520703
1.323248,1.344566,1.302052,1.548330,1.321571,1.346159,1.413911,1.317347,1.508975,1.624289,1.258109,1.324320,1.454976,1.341104,1.708486,1.310519,1.723977,1.434502,1.323164,1.697086,1.419058,1.535109,1.483188,1.347279,1.235860,1.604735,1.528510,1.319906,1.440599,1.416827,1.342763,1.494918
1.285218,1.367122,1.389014,1.441692,1.345715,1.418952,1.448214,1.268326,1.446680,1.629151,1.175857,1.305153,1.488332,1.348539,1.606442,1.307943,1.707799,1.440150,1.320687,1.612417,1.445509,1.387444,1.435044,1.336980,1.318564,1.539369,1.500918,1.318091,1.549571,1.248906,1.325827,1.596074
1.451984,1.384654,1.347892,1.476308,1.363086,1.395037,1.461660,1.322158,1.528050,1.664129,1.214157,1.328731,1.571716,1.404348,1.681823,1.499818,1.803789,1.440217,1.321545,1.655142,1.492478,1.489107,1.446494,1.419364,1.417076,1.599603,1.484818,1.305374,1.462102,1.296525,1.381001,1.510405
1.213679,1.346525,1.332675,1.448046,1.392737,1.394988,1.481939,1.212755,1.573674,1.530549,1.167429,1.282968,1.522919,1.318259,1.757409,1.288231,1.757411,1.385781,1.373000,1.742902,1.480889,1.488358,1.489188,1.355469,1.323890,1.567607,1.521185,1.298352,1.585045,1.397038,1.332093,1.522679
1.338125,1.336609,1.411191,1.529048,1.348712,1.435850,1.500486,1.378272,1.536130,1.578115,1.361365,1.300686,1.501346,1.416549,1.692776,1.382844,1.898394,1.519396,1.327935,1.643860,1.534790,1.566282,1.551278,1.381679,1.379094,1.473508,1.542440,1.348025,1.460852,1.304085,1.434300,1.538083
1.345029,1.352731,1.260838,1.468105,1.399051,1.325321,1.466327,1.284620,1.533534,1.578633,1.226980,1.365555,1.474600,1.352939,1.594087,1.313810,1.751118,1.469695,1.267043,1.636535,1.411249,1.371856,1.458409,1.380051,1.260692,1.568248,1.563585,1.341579,1.423711,1.238569,1.341236,1.588322
